Size, Blocks, Threads, Time
8388608, 8, 2, 88.1376
8388608, 8, 4, 47.3142
8388608, 8, 8, 26.5283
8388608, 8, 16, 16.2458
8388608, 8, 32, 11.2023
8388608, 8, 64, 8.42989
8388608, 8, 128, 7.06657
8388608, 8, 256, 6.37595
8388608, 8, 512, 6.03209
8388608, 8, 1024, 5.88421
8388608, 16, 2, 46.8717
8388608, 16, 4, 26.4754
8388608, 16, 8, 16.0876
8388608, 16, 16, 10.9293
8388608, 16, 32, 8.42012
8388608, 16, 64, 7.04764
8388608, 16, 128, 6.36554
8388608, 16, 256, 6.03525
8388608, 16, 512, 5.87805
8388608, 16, 1024, 5.85378
8388608, 32, 2, 26.2384
8388608, 32, 4, 16.1666
8388608, 32, 8, 10.9416
8388608, 32, 16, 8.32224
8388608, 32, 32, 7.03468
8388608, 32, 64, 6.38973
8388608, 32, 128, 6.01182
8388608, 32, 256, 5.87943
8388608, 32, 512, 5.84392
8388608, 32, 1024, 5.8608
8388608, 64, 2, 16.129
8388608, 64, 4, 11.0456
8388608, 64, 8, 8.39014
8388608, 64, 16, 7.03049
8388608, 64, 32, 6.36286
8388608, 64, 64, 6.02463
8388608, 64, 128, 5.86929
8388608, 64, 256, 5.85168
8388608, 64, 512, 5.85763
8388608, 64, 1024, 5.84448
8388608, 128, 2, 10.9807
8388608, 128, 4, 8.45711
8388608, 128, 8, 7.11886
8388608, 128, 16, 6.36462
8388608, 128, 32, 6.01142
8388608, 128, 64, 5.87784
8388608, 128, 128, 5.84214
8388608, 128, 256, 5.86454
8388608, 128, 512, 5.83399
8388608, 128, 1024, 5.85193
8388608, 256, 2, 8.41048
8388608, 256, 4, 7.14341
8388608, 256, 8, 6.41443
8388608, 256, 16, 6.03512
8388608, 256, 32, 5.86737
8388608, 256, 64, 5.84717
8388608, 256, 128, 5.85216
8388608, 256, 256, 5.84309
8388608, 256, 512, 5.83916
8388608, 256, 1024, 5.84625
8388608, 512, 2, 8.42027
8388608, 512, 4, 7.14211
8388608, 512, 8, 6.40733
8388608, 512, 16, 6.04668
8388608, 512, 32, 5.91071
8388608, 512, 64, 5.86842
8388608, 512, 128, 5.84282
8388608, 512, 256, 5.84654
8388608, 512, 512, 5.84359
8388608, 512, 1024, 5.84517
8388608, 1024, 2, 7.78076
8388608, 1024, 4, 6.80942
8388608, 1024, 8, 6.23963
8388608, 1024, 16, 5.96779
8388608, 1024, 32, 5.86446
8388608, 1024, 64, 5.86446
8388608, 1024, 128, 5.84509
8388608, 1024, 256, 5.84503
8388608, 1024, 512, 5.85144
8388608, 1024, 1024, 5.84741
8388608, 2048, 2, 7.48153
8388608, 2048, 4, 6.6777
8388608, 2048, 8, 6.19087
8388608, 2048, 16, 5.94536
8388608, 2048, 32, 5.84766
8388608, 2048, 64, 5.85033
8388608, 2048, 128, 5.85149
8388608, 2048, 256, 5.85057
8388608, 2048, 512, 5.84589
8388608, 2048, 1024, 5.85646
8388608, 4096, 2, 7.50286
8388608, 4096, 4, 6.70501
8388608, 4096, 8, 6.19892
8388608, 4096, 16, 5.95206
8388608, 4096, 32, 5.87598
8388608, 4096, 64, 5.8539
8388608, 4096, 128, 5.84948
8388608, 4096, 256, 5.86688
8388608, 4096, 512, 5.87938
8388608, 4096, 1024, 6.04335
8388608, 8192, 2, 7.74388
8388608, 8192, 4, 6.70603
8388608, 8192, 8, 6.18417
8388608, 8192, 16, 5.96296
8388608, 8192, 32, 5.86983
8388608, 8192, 64, 5.86685
8388608, 8192, 128, 5.85494
8388608, 8192, 256, 5.87962
8388608, 8192, 512, 5.93092
8388608, 8192, 1024, 6.17263
8388608, 16384, 2, 7.55105
8388608, 16384, 4, 6.69766
8388608, 16384, 8, 6.21514
8388608, 16384, 16, 6.01142
8388608, 16384, 32, 5.9017
8388608, 16384, 64, 5.87321
8388608, 16384, 128, 5.88353
8388608, 16384, 256, 5.96047
